Mentions,1/2j abs,Rang,Moyenne Générale,PHILOSOPHIE,HISTOIRE-GEOGRAPHIE,MATHEMATIQUES,PHYSIQUE-CHIMIE,SCIENCES VIE & TERRE,ED.PHYSIQUE & SPORT.,ANGLAIS LV1,ALLEMAND LV2,ESPAGNOL LV2,ITALIEN LV2,JAPONAIS LV2,SPECIALITE SVT,SPECIALITE PHYS,NISSART LV3,SPECIALITE MATHS,SPECIALITE ISN,arts fac,ENS. MORAL & CIVIQUE
Encouragements,7,19,12.6,13.7,10.5,12,12.5,11.2,18.5,12.5,,,13.6,,,,12.7,13.5,,,14.0
Encouragements,21,19,12.2,10,7,14,14,9.5,15,15.5,,,12,,,12,,,,,
Encouragements,4,20,12.6,13,10.5,14.2,11.5,13.7,0,9.5,,,11.9,,13.1,,16.2,,,,
Encouragements,4,20,12.5,13.3,17,10.6,10,12.3,16,11.5,15,,,,,10.4,,,,,20.0
Encouragements,16,20,12.1,13.5,,12.4,9,11,18,13,,,12.1,,,,N.Not,13.7,,,
Encouragements,3,21,12.6,10,6,13.2,14.5,13,15,15,,,8.5,,,12.6,,,,,17.0
Encouragements,6,21,12.2,12.3,14,11.1,10,14.4,14,8.6,,,16.5,,11,,14.4,,,,
Pas de mention,9,21,11.6,12.5,8,13.1,8,10,18,16,,,,13,,,,,,,
Pas de mention,18,22,11.8,12.7,9,12.8,10.5,12.8,13,10,,,14.5,,,,,11.5,,,
Pas de mention,32,22,11.3,11,,12.2,10,11,0,14.5,,,9,,,,,,,,
Encouragements,5,23,12.4,11.7,17.5,11.8,11.5,10.7,14.5,12.3,14.5,,,,,11,,,,,
Pas de mention,9,23,11.4,12.3,8,11.4,12,9.6,13,13.5,,,12.5,,,12.8,,,,,
Pas de mention,37,23,11.3,13,,16.9,10,6.4,15,9.5,,,7.4,,,,,9.9,,,
Encouragements,2,24,12.3,13.7,12.5,12.4,11.5,12,15.5,8.1,,,14.5,,11.1,,16.9,,,,14.0
Encouragements,7,24,11,10.5,6,10.8,11,11.7,17,9.1,,,14.4,,11.1,,N.Not,,,,
Pas de mention,9,24,11.3,10,10.5,9.2,9.5,12.6,18.5,12.3,10.5,,,,15,,,,,,
Pas de mention,1,25,10.7,11,6,9.5,11.5,13.1,12.5,9.5,,7.3,,,,12.5,,,,,
Encouragements,2,25,11.5,12.3,8.5,11,11,12.9,10,11.8,,,14,,,10.5,13.5,,,,
Encouragements,6,25,10.9,14,7,11.6,10,8.8,15,11,,,14,,,8.2,13,,,,16.0
Pas de mention,9,26,11.2,8.7,8.5,13.8,12,8.9,18,9,,,9.6,,,,,10.5,,,14.0
Encouragements,13,26,10.6,9,15,9.2,8,11,15,11.3,,13.6,,,,7.1,,,,,16.0
Encouragements,23,26,10.5,11.3,4.5,11.6,10,12.6,14,7,9,,,,,12.1,,,,,
Encouragements,2,27,10.4,10.7,8,9.8,8,12.6,14,10,,,12,,,9.6,14.7,,,,
Pas de mention,14,27,10.5,8.5,3,10.7,9,11.6,16,12,,,,,18,,,,,,
Encouragements,27,11,9.7,15.5,10.2,10.5,9.2,12.5,12.6,,11.7,,,,10.5,,,,,
Encouragements,11,28,9.9,14,15,10.2,4,9,0,13.2,,,13,,,6.7,12,,,,
Pas de mention,17,28,10.6,9.7,6,11.8,8,13.3,0,12.5,,,7.8,,,,,,12.5,,14.0
Encouragements,21,28,10.4,14.3,7,7,6.5,12.7,16,14,,10.6,,,,8.6,17.2,,,,16.0
Pas de mention,28,28,9.9,15,,11.3,5,8.5,12,11,,13.3,,,,6.4,16,,,,
Encouragements,3,29,10.5,12.3,,7.9,8.5,10.4,17.5,12.7,,,7.8,,,10.6,16.2,,,,17.0
Encouragements,3,29,10.2,13.7,12,9.4,7,10,11,11.5,,,11.5,,,8.6,15.7,,,,
Pas de mention,24,29,10.2,10,9,9.2,6,10.9,0,13.5,,,12.5,,,,,,10.5,,
Pas de mention,25,30,10,15.7,8,5.2,10,11.6,9.5,12.5,,10.9,,,,9.6,14.7,,,,
Pas de mention,28,30,9.4,11,2,11,11,9.4,12,11.5,,5.5,,,,5.6,,,,,
Encouragements,2,31,10.1,11.7,7,9.2,10,10.2,13,11.6,,11.5,,,,8.3,,,,,
Pas de mention,4,31,9.5,8.7,7,8.7,13.5,8.1,14.5,9,,2.8,,,,12.8,,,,,
Encouragements,12,31,9,11.5,11.5,8.2,8,8.7,15,4.5,,,,,,7.7,,,,,
Pas de mention,14,32,9.4,11.7,3.5,11.8,10,5.7,15,8.5,,,,,,10.2,,,,,
Pas de mention,49,32,7.7,10,3,11.6,9,1.5,10,6.5,N.Not,,,,,11,,,,,
Pas de mention,32,9,12.3,9.5,7.9,7.5,10.3,11,4.5,,,,,,10.6,,,,,
Pas de mention,33,9,11.7,9.5,7.5,8,8.8,14.5,5,,,,,,6.5,,,,,20.0
