NB_ARC_VL;ID_GAV;NB_PL_MT;LARGEUR;GLOBALID;TYPE_MOBIL;PROFIL;LONGUEUR;ETAT_;CODE_INSEE;NB_PL_VL;NB_PLACE;NB_ARC_MT;geometry
1;6035;6;2.0;{E11DCFFC-7286-481A-9360-E2A03F9F2227};3;0;7.5;En vigueur;06088;3;9;2;{"type": "Point", "coordinates": [7.26237375, 43.7138884]}
0;6040;5;2.0;{E0BDB486-6D4E-421D-9472-93D37F79AF60};4;0;10.0;Supprimé(e);06088;3;8;0;{"type": "Point", "coordinates": [7.26327789, 43.71361562]}
3;6005;6;2.0;{0863D37D-34C5-4C5C-891A-B6B487803A8F};5;0;5.0;En vigueur;06088;6;12;3;{"type": "Point", "coordinates": [7.26111744, 43.7157421]}
4;6010;0;2.0;{7BEB8BEA-CD84-4380-ADDD-F9067ABA8462};6;2;7.0;En vigueur;06088;8;8;0;{"type": "Point", "coordinates": [7.25937797, 43.71363714]}
1;6012;4;2.0;{845DDE81-BE71-46B5-B710-BAF5D544C7E3};3;0;7.0;En vigueur;06088;2;6;3;{"type": "Point", "coordinates": [7.25388974, 43.72529558]}
0;6013;4;2.0;{A20B7FC4-1001-4008-80E6-9CAB2C3370AE};2;0;7.0;Supprimé(e);06088;2;6;0;{"type": "Point", "coordinates": [7.25911114, 43.71137651]}
1;6014;7;2.0;{85590A81-94CD-4695-9D19-3245646A2B4B};1;1;7.0;En vigueur;06088;0;7;3;{"type": "Point", "coordinates": [7.25138493, 43.72107698]}
0;6017;7;2.0;{069606FE-5921-4D0C-9862-1237545DBBCE};2;0;10.0;Supprimé(e);06088;3;10;0;{"type": "Point", "coordinates": [7.25065802, 43.72252086]}
2;7112;4;2.0;{F0EB7714-1162-40CA-BC72-49918A0D888B};1;0;10.0;En vigueur;06088;2;6;4;{"type": "Point", "coordinates": [7.26734099, 43.69626623]}
0;7122;8;2.0;{A15BEFC6-D5A1-49E4-B06F-22403FD59EE5};2;1;8.0;En vigueur;06088;0;8;0;{"type": "Point", "coordinates": [7.2730978, 43.69709636]}
7;7203;0;2.0;{BAB46164-BE37-4A8B-AC1C-D9E41059813D};6;2;6.0;Supprimé(e);06088;14;14;0;{"type": "Point", "coordinates": [7.27546201, 43.70242062]}
0;7207;2;2.0;{3414068F-48C0-4C45-BB49-1D864131FDD2};2;0;4.0;En vigueur;06088;1;3;0;{"type": "Point", "coordinates": [7.27482984, 43.70334449]}
